ponto,veic,situacao,tipo
229,"FIAT/SIENA","Irregular","1"
230,"VW/VOYAGE","Regular","1"
231,"FIAT/SIENA","Irregular","1"
232,"FIAT/ SIENA","Regular","1"
233,"FIAT/SIENA ATTR","Regular","1"
234,"CHEV / ONIX","Regular","1"
235,"VW/GOL","Regular","1"
236,"FIAT MOBI","Regular","1"
237,"GM/PRISMA","Regular","1"
238,"CHEV/SPIN","Regular","1"
239,"VW/POLO","Regular","1"
240,"CITROEN/C3 LIVE","Regular","1"
241,"FIAT/DOBLO","Regular","1"
242,"CHEV/COBLAT","Irregular","1"
243,"CHEV/CLASSIC","Regular","1"
244,"HYUNDAI","Regular","1"
245,"CHEV/SPIN 1.8","Regular","1"
246,"CHEV/ONIX","Regular","1"
247,"JEEEP/RENEGADE","Regular","1"
248,"CHEV/PRIMA","Regular","1"
249,"VW/VIRTUS","Regular","1"
250,"CHEV/TRACKER","Irregular","1"
251,"VW/GOL","Regular","1"
252,"GM/CORSA SENDAN","Irregular","1"
253,"CHEV/ SPIN","Regular","1"
254,"CHEV/ONIX","Regular","1"
255,"CHEV/ TRACKER","Regular","1"
256,"VW/VIRTUS","Regular","1"
257,"VW/FOX 1.6","Regular","1"
258,"VW / VOYAGE","Regular","1"
259,"RENAULT","Regular","1"
260,"VW/VIRTUS MB","Regular","1"
261,"CHEV/ONIX PLUS","Regular","1"
262,"CORSA /CLASSIC","Irregular","1"
263,"FIAT/SIENA","Regular","1"
264,"CHEV/ ONIX PLUS","Regular","1"
265,"TOYOTA/YARIS","Regular","1"
266,"CHEV/ONIX","Irregular","1"
267,"FIAT/MOBI","Regular","1"
268,"FIAT/UNO","Regular","1"
269,"CHEV/PRISMA","Regular","1"
270,"FIAT/SIENA","Regular","1"
271,"RENAULT/LOGAN","Irregular","1"
272,"GM/SPIN","Regular","1"
273,"FORD KA","Regular","1"
274,"PRISMA","Regular","1"
275,"FIAT/DOBLO","Regular","1"
276,"FIAT/SIENA","Irregular","1"
277,"FIAT/CRONOS","Regular","1"
278,"GM/ZAFIRA","Regular","1"
279,"CHEV SPIN","Regular","1"
280,"FIAT/SIENA","Irregular","1"
281,"CHEV/CLASSIC","Regular","1"
282,"FIAT SIENA","Irregular","1"
283,"GM/CORSA","Irregular","1"
284,"NISSAN/KCS","Regular","1"
285,"I/ FORD FIESTA","Regular","1"
286,"VW/FOX 1.6","Irregular","1"
287,"FORD/KA","Regular","1"
288,"CHEV/ONIX PLUS","Regular","1"
289,"TOYOTA ETIOS","Irregular","1"
290,"CHEV PRISMA","Regular","1"
291,"TOYOTA/YARIS","Regular","1"
292,"COROLA XEI","Regular","1"
293,"FIAT/CRONOS","Regular","1"
294,"","Regular","1"
295,"CHEV COBALT","Irregular","1"
296,"CHEV/ ONIX LTZ","Regular","1"
297,"FORD FIESTA","Irregular","1"
298,"FIAT/SIENA 1.4","Regular","1"
299,"CHEV/SPIN 1.8L","Regular","1"
300,"GM CORSA HATCH","Irregular","1"
301,"","Irregular","1"
302,"FORD KA","Regular","1"
303,"TOYOTA/YARIS","Irregular","1"
304,"CHEV ONIX PLUS","Regular","1"
305,"CHEV/COBALT 1.8","Regular","1"
306,"FIAT SIENA","Regular","1"
307,"FIAT/SIENA","Regular","1"
308,"RENALT SANDERO","Regular","1"
309,"CHEV/TRACKER","Regular","1"
310,"VW/VOYAGE","Regular","1"
311,"TOYOTA/COROLLA","Regular","1"
312,"COROLLA  XEI","Regular","1"
313,"CHEV/PRISMA","Irregular","1"
314,"CHEV/PRISMA","Regular","1"
315,"","Irregular","1"
316,"CHEV/CLASSIC","Irregular","1"
317,"SIENA ATRACTIVE","Regular","1"
318,"FIAT/CRONOS","Regular","1"
319,"TOYOTA/COROLLA","Regular","1"
320,"FIAT/SIENA","Irregular","1"
321,"CHEV/PRISMA 1.4","Regular","1"
322,"FIAT/SIENA","Regular","1"
323,"VW/FOX","Regular","1"
324,"FORD/FIESTA","Irregular","1"
325,"CHEV/TRACKER","Regular","1"
326,"CHEV/ONIX","Regular","1"
327,"CHEV/ONIX","Regular","1"
328,"","Irregular","1"
329,"CHEV/SPIN","Regular","1"
330,"CH/CLASSIC","Irregular","1"
331,"RENAULT","Regular","1"
332,"CHEV/SPIN 1.8","Regular","1"
333,"CHEV/ONIX","Irregular","1"
334,"FIAT/DOBLO1.8","Regular","1"
335,"FIAT/SIENA","Regular","1"
336,"CHEV/SPIN","Regular","1"
337,"CHEV/SPIN","Regular","1"
338,"HYUNDAI/ CRETA","Regular","1"
339,"VW / VIRTUS","Regular","1"
340,"HONDA","Regular","1"
341,"VW/PARATI","Irregular","1"
342,"CHEV/PRISMA","Regular","1"
343,"FIAT/SIENA 1.4","Regular","1"
344,"CHEV/SPIN 1.8","Regular","1"
345,"CHEV PRISMA","Regular","1"
346,"COBALT","Irregular","1"
347,"NOVO VOYAGE","Regular","1"
348,"VW/VIRTUS","Regular","1"
349,"CHEV/PRISMA","Regular","1"
350,"CHEV COBALT","Regular","1"
351,"RENAULT/KWID","Irregular","1"
352,"CHEV/COBALT","Irregular","1"
353,"GM/SPIN","Regular","1"
354,"CHEV/SPIN","Regular","1"
355,"FIAT/SIENA","Regular","1"
356,"FIAT/PULSE","Regular","1"
357,"FIAT/SIENA","Regular","1"
358,"CHEV/PRISMA","Regular","1"
359,"FIAT DOBLO","Regular","1"
360,"CHEV/SPIN 1.8","Regular","1"
361,"FORD/KA SE","Regular","1"
362,"GM/COBALT 1.4","Regular","1"
363,"CHEV/SPIN 1.8","Regular","1"
364,"TOYOTA COROLLA","Regular","1"
365,"CHEV/ PRISMA","Irregular","1"
366,"CITROEN/C3","Regular","1"
367,"CITROEN/BASALT","Regular","1"
368,"CHEV PRISMA","Regular","1"
369,"SIENA 1.4","Regular","1"
370,"CHEV SPIN","Regular","1"
371,"CHEV/ONIX","Regular","1"
372,"NOVO VOYAGE","Irregular","1"
373,"FIAT/MOBI","Regular","1"
374,"VW VIRTUS","Regular","1"
375,"FIAT/CRONOS 1.3","Regular","1"
376,"FIAT/G.SIENA","Regular","1"
377,"FIAT SIENA","Irregular","1"
378,"CHEV/ONIX","Regular","1"
379,"","Regular","1"
380,"NISSAN/KICS","Regular","1"
381,"CHEV/ONIX","Regular","1"
382,"CHEV/ CLASSIC","Regular","1"
383,"VW/VOYAGE","Regular","1"
384,"FIAT SIENA","Regular","1"
385,"CHEV/ONIX","Regular","1"
386,"FIAT /DOBLO","Regular","1"
387,"VW FOX","Regular","1"
388,"FIAT DOBLO","Regular","1"
389,"CHEV/PRISMA","Regular","1"
390,"COROLLA CROSS","Regular","1"
391,"HYUNDAI/HB20","Irregular","1"
392,"FIAT/SIENA 1.4","Irregular","1"
393,"VW/ POLO TRACK","Regular","1"
394,"TOYOTA/ COROLLA","Regular","1"
395,"CHEV/SPIN","Irregular","1"
396,"","Regular","1"
397,"TOYOTA/ETIOS","Regular","1"
398,"CHEV/COBALT","Regular","1"
399,"RENAULT/KWID","Regular","1"
400,"CHEV/SPIN","Regular","1"
401,"CHEV/ONIX","Regular","1"
402,"WV/VOYAGE","Regular","1"
403,"VW/ VIRTUS","Regular","1"
404,"KCS/ K16","Regular","1"
